product_id,product_name,product_brand,product_category,sub_category,product_description,size,color,price,material,gender
636938,Vintage Cargo Pants with Eco-Friendly Fabric,Versace,Clothing,Pants,Classic and modern design with premium materials.,"XS, S, M, L",Green,7223.49,Wool,Unisex
923314,Printed Tank Top with Lightweight Fabric,Nike,Clothing,Tank Tops,Designed for both casual and formal occasions.,"XS, S, M, L",Blue,3808.87,Cotton,Unisex
520072,Slim Fit T-Shirt with Eco-Friendly Fabric,Levi's,Clothing,T-Shirts,Trendy and versatile clothing piece.,"S, M, L, XL",Pink,13756.42,Denim,Women
671796,Slim Fit T-Shirt with Cotton Fabric,Nike,Clothing,T-Shirts,Perfect fit with high-quality fabric.,"M, L, XL",Blue,11130.3,Denim,Men
821136,Ripped Tank Top with Fleece Fabric,Zara,Clothing,Tank Tops,Perfect fit with high-quality fabric.,"S, M, L",Pink,5640.679999999999,Silk,Women
846276,Slim Fit Blazer with Eco-Friendly Fabric,Under Armour,Clothing,Blazers,Perfect fit with high-quality fabric.,"L, XL",Green,15500.25,Denim,Unisex
950481,Textured Sweatpants with Stretch Fabric,Puma,Clothing,T-Shirts,Perfect fit with high-quality fabric.,"XS, S, M, L",Yellow,16394.16,Wool,Men
353609,Fitted Jeans with Eco-Friendly Fabric,Tommy Hilfiger,Clothing,Jeans,Designed for both casual and formal occasions.,"S, M, L",Blue,4793.25,Leather,Men
880014,Acid Wash Shirt with Stretch Fabric,H&M,Clothing,Shirts,A stylish and comfortable option for daily wear.,"M, L, XL",Grey,13431.06,Leather,Unisex
797849,Embroidered Sweatpants with Denim Fabric,Under Armour,Clothing,Shorts,Designed for both casual and formal occasions.,"XS, S, M, L",Black,4179.05,Linen,Unisex
408400,Oversized Blazer with Fleece Fabric,Under Armour,Clothing,Blazers,Designed for both casual and formal occasions.,"S, M, L",Yellow,16419.89,Denim,Women
752164,Acid Wash Jacket with Moisture-Wicking Fabric,Tommy Hilfiger,Clothing,Jackets,Trendy and versatile clothing piece.,"S, M, L, XL",White,12029.19,Cotton,Unisex
611965,Vintage T-Shirt with Premium Fabric,Adidas,Clothing,T-Shirts,Classic and modern design with premium materials.,One Size,Brown,16297.88,Cotton,Unisex
517518,Ripped Hoodie with Stretch Fabric,Versace,Clothing,Hoodies,Designed for both casual and formal occasions.,"L, XL",Pink,1850.07,Denim,Women
566890,Slim Fit Blazer with Eco-Friendly Fabric,Adidas,Clothing,Blazers,Classic and modern design with premium materials.,"S, M, L",Brown,13939.85,Cotton,Women
123902,Vintage Blazer with Luxury Fabric,Under Armour,Clothing,Blazers,Trendy and versatile clothing piece.,One Size,Grey,5901.299999999999,Cotton,Unisex
106958,Acid Wash T-Shirt with Denim Fabric,Levi's,Clothing,T-Shirts,Designed for both casual and formal occasions.,"S, M, L, XL",Red,12924.76,Linen,Unisex
420941,Acid Wash Sweatpants with Eco-Friendly Fabric,Under Armour,Clothing,Shirts,Perfect fit with high-quality fabric.,"S, M, L, XL",Purple,10345.12,Denim,Unisex
546166,Printed Jeans with Lightweight Fabric,Under Armour,Clothing,Jeans,Perfect fit with high-quality fabric.,"S, M, L",White,15084.42,Cotton,Women
754373,Vintage Dress with Luxury Fabric,Zara,Clothing,Dresses,A stylish and comfortable option for daily wear.,"XS, S, M, L",Red,12706.47,Cotton,Unisex
376675,Textured Hoodie with Luxury Fabric,Zara,Clothing,Hoodies,Classic and modern design with premium materials.,"M, L, XL",Brown,11078.01,Linen,Men
532128,Textured Sweatpants with Premium Fabric,Puma,Clothing,Jackets,A stylish and comfortable option for daily wear.,One Size,Grey,15375.75,Leather,Men
677388,Vintage Sweatpants with Luxury Fabric,Versace,Clothing,Shorts,Perfect fit with high-quality fabric.,"S, M, L, XL",Brown,12355.38,Denim,Women
275869,Embroidered Jeans with Breathable Fabric,Nike,Clothing,Jeans,Classic and modern design with premium materials.,"L, XL",Yellow,16381.71,Silk,Men
988820,Vintage Hoodie with Fleece Fabric,Under Armour,Clothing,Hoodies,Perfect fit with high-quality fabric.,"M, L, XL",Black,6681.5,Dry-Fit,Women
364941,Printed Tank Top with Premium Fabric,Puma,Clothing,Tank Tops,Classic and modern design with premium materials.,"XS, S, M, L",Red,7362.929999999999,Dry-Fit,Men
207193,Ripped Dress with Luxury Fabric,Tommy Hilfiger,Clothing,Dresses,Designed for both casual and formal occasions.,"L, XL",White,1581.15,Wool,Women
380465,Oversized T-Shirt with Premium Fabric,H&M,Clothing,T-Shirts,A stylish and comfortable option for daily wear.,One Size,White,8470.98,Silk,Men
732923,Printed Jeans with Cotton Fabric,H&M,Clothing,Jeans,Perfect fit with high-quality fabric.,One Size,Brown,3505.09,Cotton,Men
842057,Textured Jacket with Luxury Fabric,Versace,Clothing,Jackets,Perfect fit with high-quality fabric.,"M, L, XL",Brown,4347.54,Polyester,Unisex
451629,Oversized Shirt with Eco-Friendly Fabric,Nike,Clothing,Shirts,Designed for both casual and formal occasions.,"S, M, L, XL",Yellow,8133.169999999999,Silk,Men
715756,Acid Wash Tank Top with Denim Fabric,Under Armour,Clothing,Tank Tops,Classic and modern design with premium materials.,"M, L, XL",Green,10218.96,Leather,Women
722921,Printed Cargo Pants with Luxury Fabric,Adidas,Clothing,Pants,Trendy and versatile clothing piece.,"L, XL",Brown,12139.58,Linen,Unisex
605977,Embroidered Jacket with Moisture-Wicking Fabric,Under Armour,Clothing,Jackets,Perfect fit with high-quality fabric.,"M, L, XL",Black,8116.570000000001,Leather,Unisex
346358,Textured Jeans with Eco-Friendly Fabric,H&M,Clothing,Jeans,Trendy and versatile clothing piece.,"M, L, XL",Black,3808.04,Silk,Men
225565,Acid Wash Shirt with Luxury Fabric,Levi's,Clothing,Shirts,Perfect fit with high-quality fabric.,"S, M, L, XL",Pink,11684.74,Cotton,Women
868506,Slim Fit Shirt with Eco-Friendly Fabric,Adidas,Clothing,Shirts,Perfect fit with high-quality fabric.,"XS, S, M, L",Yellow,2602.88,Leather,Women
166789,Fitted Jeans with Stretch Fabric,Levi's,Clothing,Jeans,Perfect fit with high-quality fabric.,"S, M, L, XL",Green,15721.86,Linen,Women
308365,Vintage Tank Top with Breathable Fabric,Nike,Clothing,Tank Tops,Trendy and versatile clothing piece.,One Size,Blue,5176.71,Denim,Women
979552,Acid Wash Cargo Pants with Denim Fabric,Gucci,Clothing,Pants,Classic and modern design with premium materials.,One Size,White,15269.51,Linen,Unisex
189125,Printed Tank Top with Premium Fabric,Versace,Clothing,Tank Tops,Perfect fit with high-quality fabric.,"S, M, L",White,3260.24,Polyester,Men
816884,Printed Blazer with Lightweight Fabric,Tommy Hilfiger,Clothing,Blazers,A stylish and comfortable option for daily wear.,"S, M, L, XL",Blue,4560.02,Polyester,Unisex
516272,Acid Wash Tank Top with Fleece Fabric,Nike,Clothing,Tank Tops,Trendy and versatile clothing piece.,"XS, S, M, L",Red,11047.3,Cotton,Women
324799,Printed Hoodie with Lightweight Fabric,Zara,Clothing,Hoodies,A stylish and comfortable option for daily wear.,One Size,Grey,8558.13,Leather,Men
248009,Slim Fit Blazer with Lightweight Fabric,Gucci,Clothing,Blazers,Classic and modern design with premium materials.,"M, L, XL",Blue,3011.24,Linen,Men
611192,Ripped Blazer with Moisture-Wicking Fabric,Gucci,Clothing,Blazers,A stylish and comfortable option for daily wear.,"XS, S, M, L",Yellow,12619.32,Dry-Fit,Unisex
600744,Printed Dress with Fleece Fabric,Tommy Hilfiger,Clothing,Dresses,Classic and modern design with premium materials.,"XS, S, M, L",Black,11201.68,Silk,Women
575378,Embroidered Jeans with Eco-Friendly Fabric,Under Armour,Clothing,Jeans,Trendy and versatile clothing piece.,"M, L, XL",Green,13878.43,Denim,Men
873822,Acid Wash Shirt with Eco-Friendly Fabric,Puma,Clothing,Shirts,Classic and modern design with premium materials.,"S, M, L, XL",Black,8807.13,Denim,Women
951879,Ripped Jacket with Cotton Fabric,Nike,Clothing,Jackets,A stylish and comfortable option for daily wear.,"S, M, L, XL",Pink,13195.339999999998,Silk,Men
678493,Slim Fit Tank Top with Moisture-Wicking Fabric,Puma,Clothing,Tank Tops,Trendy and versatile clothing piece.,One Size,Purple,8774.76,Denim,Men
460571,Ripped T-Shirt with Fleece Fabric,Tommy Hilfiger,Clothing,T-Shirts,Designed for both casual and formal occasions.,"S, M, L",Grey,2407.83,Denim,Women
333612,Embroidered Shirt with Fleece Fabric,Nike,Clothing,Shirts,Perfect fit with high-quality fabric.,"L, XL",Yellow,14076.8,Linen,Women
108133,Slim Fit Blazer with Fleece Fabric,Under Armour,Clothing,Blazers,Designed for both casual and formal occasions.,"L, XL",Grey,12852.55,Dry-Fit,Unisex
976593,Vintage Sweatpants with Eco-Friendly Fabric,Under Armour,Clothing,Shirts,A stylish and comfortable option for daily wear.,"S, M, L, XL",Green,7847.65,Wool,Men
597497,Slim Fit Dress with Breathable Fabric,Zara,Clothing,Dresses,A stylish and comfortable option for daily wear.,"S, M, L, XL",Green,4188.18,Denim,Women
611278,Embroidered Sweatpants with Luxury Fabric,Adidas,Clothing,Dresses,Classic and modern design with premium materials.,"L, XL",White,11334.48,Polyester,Men
459207,Distressed Jacket with Cotton Fabric,Levi's,Clothing,Jackets,Classic and modern design with premium materials.,"L, XL",Black,15169.08,Dry-Fit,Unisex
661862,Printed Sweatpants with Stretch Fabric,H&M,Clothing,Shirts,Trendy and versatile clothing piece.,"S, M, L",Purple,11239.03,Linen,Unisex
739980,Embroidered Blazer with Lightweight Fabric,Versace,Clothing,Blazers,Classic and modern design with premium materials.,"L, XL",Pink,12825.99,Leather,Men
190060,Embroidered Shirt with Luxury Fabric,Nike,Clothing,Shirts,Designed for both casual and formal occasions.,"S, M, L",Red,1170.3,Linen,Men
572022,Acid Wash Jeans with Eco-Friendly Fabric,Puma,Clothing,Jeans,A stylish and comfortable option for daily wear.,"S, M, L",White,14528.32,Wool,Unisex
459317,Acid Wash Shirt with Lightweight Fabric,Tommy Hilfiger,Clothing,Shirts,Perfect fit with high-quality fabric.,One Size,Red,16077.93,Denim,Men
260660,Ripped Hoodie with Denim Fabric,Tommy Hilfiger,Clothing,Hoodies,Classic and modern design with premium materials.,One Size,Red,4629.74,Silk,Women
266298,Distressed Sweatpants with Luxury Fabric,Nike,Clothing,Dresses,Classic and modern design with premium materials.,One Size,Blue,4553.38,Silk,Unisex
